City,Province,Latitude,Longitude
Shanghai,Shanghai,31.224361,121.46917
Xuzhou,Jiangsu,34.205769,117.284126
Zhengzhou,Henan,34.746613,113.625328
Dabu,Guangdong,24.347782,116.695198
Taiyuan,Shanxi,37.87146,112.551208
Tieling,Liaoning,42.223827,123.726036
Shijiazhuang,Hebei,38.042805,114.514893
Fuqing,Fujian,25.721292,119.384155
Yichun,Jiangxi,27.819311,114.41069
Shihezi,Xinjiang,44.306095,86.080605
Jiamusi,Heilongjiang,46.801086,130.32312
Nagqu,Tibet,31.476202,92.051239
Wuhu,Anhui,31.350012,118.429398
Lanzhou,Gansu,36.054871,103.828812
Qiqihar,Heilongjiang,47.354347,123.918182
Suqian,Jiangsu,33.965126,118.270988
Changchun,Jilin,43.891262,125.331345
Hohhot,Inner Mongolia,40.846333,111.733017
Linfen,Shanxi,36.088005,111.518974
Wuhai,Inner Mongolia,39.863373,106.814575
Dongguan,Guangdong,22.940195,113.943916
Yancheng,Jiangsu,33.347317,120.163658
Shenzhen,Guangdong,22.542883,114.062996
Qidong,Jiangsu,31.808025,121.65744
Suzhou,Jiangsu,31.139071,120.645134
Xiamen,Fujian,24.479834,118.089424
Zhongxiang,Hubei,31.16782,112.58812
Bayingol,Xinjiang,41.749287,86.168861
Weifang,Shandong,36.706776,119.161758
Hefei,Anhui,31.848398,117.272362
Xigaze,Tibet,29.26687,88.880585
Haixi,Qinghai,37.363132,97.377106
Jiuquan,Gansu,39.732819,98.494354
Tumxuk,Xinjiang,39.865776,79.070511
Guangyuan,Sichuan,32.323257,105.962822
Zalantun,Inner Mongolia,48.013733,122.737465
Linyi,Shandong,35.102074,118.345329
Golmud,Qinghai,36.406086,94.910286
Cangnan,Zhejiang,27.51828,120.425766
Korla,Xinjiang,41.723091,86.175682
Huainan,Anhui,32.625477,116.999931
Wuxi,Jiangsu,31.565372,120.327583
Yinchuan,Ningxia,38.4888,106.24929
Chifeng,Inner Mongolia,42.259621,118.888634
Weihai,Shandong,37.509998,122.120766
Guangzhou,Guangdong,23.128994,113.25325
Fuxin,Liaoning,42.035522,121.659676
Lianyungang,Jiangsu,34.661453,119.224319
Nanyang,Henan,33.05817,111.851074
Shannan,Tibet,29.240574,91.774055
Handan,Hebei,36.77774,114.491051
Changji,Xinjiang,44.011185,87.308228
Hulun Buir,Inner Mongolia,49.220287,119.75441
Hotan,Xinjiang,36.98724,81.07592
Aksu,Xinjiang,41.176327,80.275902
Karakax,Xinjiang,37.277294,79.728813
Wuwei,Gansu,37.934246,102.638931
Ankang,Shaanxi,32.684715,109.029022
Tianshui,Gansu,34.991192,106.206551
Baoshan,Shanghai,31.405457,121.489609
Kunming,Yunnan,24.919493,102.478493
Aba,Sichuan,31.681154,103.853523
Lhasa,Tibet,29.652491,91.172112
Bengbu,Anhui,32.916286,117.389717
Mianyang,Sichuan,32.030197,104.013405
Sihong,Jiangsu,33.485291,118.224564
Kizilsu,Xinjiang,39.714527,76.167816
Jiangmen,Guangdong,22.578737,113.081902
Zhongshan,Guangdong,22.516998,113.392723
Nyingchi,Tibet,29.651808,94.35659
Guyuan,Ningxia,36.015854,106.242607
Xianyang,Shaanxi,34.329605,108.708992
Xinzhou,Shanxi,38.910725,111.846909
Xilin Gol,Inner Mongolia,43.935299,116.051414
Shiyan,Hubei,32.055542,110.741096
Dunhuang,Gansu,40.142132,94.66188
Suihua,Heilongjiang,46.675827,127.018433
Haidong,Qinghai,36.502041,102.104286
Qamdo,Tibet,31.140968,97.17202
Ordos,Inner Mongolia,39.671257,109.860535
Alxa,Inner Mongolia,38.851891,105.728966
Kashgar,Xinjiang,39.470402,75.989754
Wenzhou,Zhejiang,27.994267,120.699364
Chongqing,Chongqing,29.563009,106.551559
Aba,Sichuan,31.893671,101.112892
Yopurga,Xinjiang,39.229595,76.767654
Fuzhou,Jiangxi,27.934572,116.312164
Urumqi,Xinjiang,43.825592,87.616852
Kumul,Xinjiang,42.821594,93.497772
Weihui,Henan,35.398495,114.064903
Ningbo,Zhejiang,29.868336,121.543991
Yuncheng,Shanxi,35.026413,111.00753
Baicheng,Jilin,45.622681,122.848434
Huludao,Liaoning,40.711052,120.836929
Qiandongnan,Guizhou,26.198374,107.788742
Shangluo,Shaanxi,33.868134,109.947739
Xi'an,Shaanxi,34.341568,108.940178
Harbin,Heilongjiang,45.811573,126.546707
Lijiang,Yunnan,26.865118,100.229301
Xinxiang,Henan,35.504284,113.804626
Macau,Macau,22.210928,113.552971
Binhai,Jiangsu,33.995182,119.817924
